번호,운동 이름,분류,장소,인원,설명,사진,링크(올바른 자세로 운동하는 법),
1,조깅,유산소,야외,"개인, 단체","느린 속도의 달리기 형태이다. 주 목적은 빨리 달리는 것에 비해 몸에 압박을 덜 주면서 피트니스를 향상시키는 것, 또 장시간 꾸준한 속도를 유지시키기 위함이다. 조깅의 표준속도는 100m에 45초이며, 시속으로는 8km/h이다.",https://image.edaily.co.kr/images/Photo/files/NP/S/2016/09/PS16091500049.jpg,https://www.youtube.com/watch?v=XUAeL4gOlnA,
2,데드리프트,근력,실내,개인,"슬굴곡근과, 척추기립근, 대둔근이 통합적으로 동원되어 대퇴후면과 등 하부를 동시에 강화시켜주는 운동이다. 머리를 숙이거나 등을 곧게 펴지 않고 실시할 경우 허리 통증을 호소할 수 있으므로 운동 전 충분한 자세 연습이 필요한 동작이다.",https://manmaker.co.kr/wp-content/uploads/2018/07/Fitness-Guide-main.jpg,https://terms.naver.com/entry.naver?docId=2403437&cid=51617&categoryId=51618,
3,벤치프레스,근력,실내,개인,"벤치에 등을 대고 누워서 역기를 가슴 높이까지 내렸다가 굽힌 팔꿈치를 쭉 펴면서 들어 올리는 방식으로 실시한다. 이 운동이 목표하는 것은 대흉근의 발달이다. 또한 이 운동에서는 삼각근과 상완삼두근이 보조적인 역할을 하므로 이들도 동시에 자극이 되고, 어깨 주변 근육들과 승모근도 어깨 관절을 안정시키기 위해 동작하므로 부수적으로 단련할 수 있다.",https://ww.namu.la/s/59037609f56b188daf6a118f33b2a2a6165e98d91f360ef69087de3f883505398a7bf39cbf6c23a7f2d6e416396308e434e1441d683ae6e668aeb806490cf3805537e067515de0b4a16e419fdaeee55f1e39894b96215fa177cb499d928cde0e,https://www.youtube.com/watch?v=0DsXTSHo3lU,
4,벤트오버로우,근력,실내,개인," 다양한 등근육을 타겟으로 하는 웨이트 트레이닝이다.타겟팅 되는 근육들은 자세에 따라 다르다. 벤트오버로우는 보디빌딩과 파워리프팅에 사용되기도 하며, 강도와 크기를 늘리는 운동이다. 자세가 안전하지 못하면 부상 위험성은 높아진다. 안정되고 정돈된 자세를 취하는 것은 배우기 어렵다. ",https://blog.kakaocdn.net/dn/cnrfUs/btqDKpP9oob/7RSebbcEd8eGJWOAdmG98k/img.png,https://www.youtube.com/watch?v=g4X2faTd0DE,
5,복근운동,근력,"실내, 야외",개인,"복근운동은 복근 만들기에 유용하다. 이는 특정 스포츠 운동 수행, 등 통증, 복근 충격 완화에 좋다. 2011년 연구에서는 복근운동이 복근 강도와 지구력을 증강한다고 알려져 있다. 복근은 호흡, 기침, 코골이, 자세유지, 말하기 등에 있어 중요한 기능을 갖고 있다. 다른 기능으로는 지탱 기능, 내장 보호 등을 돕고, 날숨, 방뇨, 구토, 출산 등도 도움을 준다.",https://health.chosun.com/site/data/img_dir/2021/12/02/2021120202174_0.jpg,https://www.youtube.com/watch?v=zcQ16cfJN9Q,
6,스쿼트,근력,"실내, 야외",개인,"스쿼트는 웨이트 트레이닝의 가장 대표적인 운동 중 하나이며, 중량을 겨루는 스포츠인 파워리프팅 중 하나이다. 바벨 또는 덤벨을 들고 무릎 관절을 굽혔다 펴는 행동을 반복함으로써, 하반신의 대퇴사두근과 하퇴삼두근, 대둔근, 중전근 등의 근육을 성장시키는 운동으로, 하체의 근육량 증가에 커다란 효과가 있다.",https://imgnn.seoul.co.kr/img/upload/2021/04/06/SSI_20210406143440_V.jpg,https://www.youtube.com/watch?v=QyAH8O5X6g0,
7,스탠딩 컬,근력,"실내, 야외",개인,"웨이트 트레이닝의 한 종류로. 상완이두근을 주로 자극하며, 상완근과 완요골근에도 부하를 준다.  어깨폭보다 조금 더 넓게 발을 벌리고 선 자세로 바벨이나 덤벨 등을 들어올렸다가 내리는 동작을 반복한다.",https://commons.wikimedia.org/wiki/File:StandingBarbellCurl.jpg,https://www.youtube.com/watch?v=l05rcsSUTZM,
8,턱걸이(풀업),근력,실내,개인,"턱걸이는 운동의 종류 중 하나이다. 일반적으로 수평으로 된 철봉에 손을 걸고 매달려 팔과 광배근, 대원근의 힘을 사용하여 턱이 철봉의 높이에 올 때까지 몸을 끌어 올리는 것을 말한다.",https://post-phinf.pstatic.net/MjAxODA2MTJfOSAg/MDAxNTI4NzgyODA3Mjg4.U57G81lOVGBxx5AO6leawrHX7TCXkUIxv3tfDC2SdG4g.NzxW9YLKNoEg-P8tj_0p7ICRTzgzEmfgQsjKeSuQP0sg.JPEG/1.jpg?type=w1200,https://www.youtube.com/watch?v=nWhS28U6bCY,
9,자전거타기,유산소,야외,"개인, 단체","자전거 타기 또는 사이클링(cycling)은 교통과 레크리에이션, 스포츠등을 위해 자전거를 타는 것을 말한다. 사이클을 이용하여 속도를 겨루는 것이 자전거 경기이다. 일반적인 이륜 자전거 이외에도 외발자전거나 삼륜, 사륜 자전거 등을 이용하기도 한다.",https://health.chosun.com/site/data/img_dir/2017/05/02/2017050200846_0.jpg,https://www.youtube.com/watch?v=2J0t40TxEZ4,
10,수영,유산소,야외,"개인, 단체","수영(水泳) 또는 헤엄(문화어: 헤염)은 팔, 다리를 움직여 수면 또는 수중을 이동하는 것을 말한다. 스포츠 경기 종목뿐만 아니라, 물놀이나 다이빙 등의 행위를 총칭하는 말로서 흔히 사용된다.",https://onimg.nate.com/orgImg/fn/2017/02/11/201702101633328761_l.jpg,https://www.youtube.com/watch?v=Bw2McHWunzI,
